#OTU ID	S6262	S6263	S6264	S6265	S6266	S6267	S6268	S6269	S6270	S6271	S6272
Otu424	5	1	0	0	0	0	1	12	1	0	0
Otu161	25	100	16	323	159	41	661	179	50	53	42
Otu368	3	0	1	1	0	1	0	42	0	0	1
Otu248	6	3	11	20	15	12	50	33	12	21	4
Otu178	17	10	19	15	23	32	17	48	90	49	31
Otu338	5	1	2	1	8	7	2	8	12	9	3
Otu520	13	2	9	13	28	23	13	29	55	29	18
Otu66	43	5	85	4	15	1157	9	398	596	14	527
Otu321	8	5	6	5	8	10	1	13	6	17	12
Otu318	5	2	3	4	6	9	4	16	12	12	11
Otu232	11	8	9	12	23	39	20	12	27	24	7
Otu458	1	1	0	0	4	1	0	1	7	0	3
Otu170	27	11	19	18	28	42	30	80	129	41	45
Otu234	2	0	0	0	77	1	0	0	0	73	76
Otu148	34	20	17	30	52	74	41	77	113	53	64
Otu328	31	16	4	2	3	3	11	1	5	10	2
Otu314	4	5	4	7	11	5	4	11	10	15	16
Otu460	14	0	8	0	1	2	0	3	2	2	0
Otu619	8	4	2	12	10	13	35	26	15	7	5
Otu319	5	3	5	2	9	5	7	6	15	12	10
Otu128	24	30	18	45	81	70	25	76	202	148	238
Otu575	3	2	6	6	7	8	21	17	5	8	8
Otu162	20	6	6	20	17	43	34	102	41	117	25
Otu639	12	10	13	9	23	159	65	18	13	27	10
Otu296	32	19	8	23	33	30	32	65	57	89	31
Otu536	5	7	9	13	26	17	14	17	44	33	21
Otu154	29	19	18	44	38	18	28	110	102	36	21
Otu106	40	37	34	53	103	99	66	125	282	128	97
Otu377	3	5	5	6	6	12	6	13	12	17	11
Otu330	10	1	0	0	6	24	4	2	21	10	10
Otu142	16	23	15	36	66	36	10	45	89	110	133
Otu302	9	4	10	5	13	4	15	26	20	20	18
Otu279	9	7	6	15	21	25	17	36	64	26	16
Otu160	18	7	12	17	31	37	25	58	126	63	47
Otu323	7	6	2	8	4	5	0	6	15	10	12
Otu482	19	1	0	0	0	0	0	0	1	0	0
Otu441	7	0	3	0	1	0	0	1	1	2	3
Otu312	6	7	4	2	3	3	2	8	40	7	5
Otu307	8	3	8	32	3	10	7	2	5	14	3
Otu173	7	5	7	270	9	16	13	8	6	15	9
Otu278	6	3	2	8	16	13	2	9	27	16	10
Otu506	1	0	0	1	1	1	5	0	2	1	0
Otu285	11	14	5	11	14	2	20	10	5	21	6
Otu183	22	11	22	28	33	34	11	29	61	37	52
Otu251	22	15	15	11	13	31	112	24	31	30	15
Otu291	7	7	6	6	11	20	9	20	42	25	19
Otu224	8	10	12	6	6	11	16	52	42	42	23
