	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD
OTU_13	269.063536869212	46.929028560512	98.2482647905945	18.036614118626	113.069920588805	52.9088689991863	774.578297539344	850.901856763926	1394.76853701695	785.928415323079	7.13615487184552	906.160568520119	410.00309533636	51.1504424778761	1205.07464937415	448.757763975155	46	481.360367852076	961.136450019004	105.518604651163	62.946636934087	11.6324535679374	201.869345396487	62.2600861731297
OTU_2	933.135244886842	17.2533193237176	246.985221209689	226.459710600527	6.15727290335076	94.7134074676792	2365.8247108947	2237.22913691083	1162.99446315429	1272.73926848377	96.3380907699146	3102.17756650341	3873.41106066859	19.3751676052561	688.614085356658	1239.77704644479	895	1749.43746025534	1348.33713416952	0.672093023255814	1.4987294508116	95.5522971652004	978.585683874401	1.41500195848022
OTU_34	149.559253206557	554.866749450759	24.5620661976486	12.0244094124174	106.352895603331	2.61278365428081	145.115642118077	97.8861456845542	191.357954221131	1.1917034349099	97.0517062570991	148.482665898396	460.694387123401	265.052292839903	0	180.172893297488	69	2.12053025485496	3.29532497149373	14.7860465116279	192.58673442929	99.7067448680352	146.755809827923	246.210340775558
OTU_46	193.210518496509	74.5343394784602	103.706501723405	29.3930007859091	66.6104977726128	51.6024771720459	209.192678897487	154.4950010202	189.708316684742	265.154014267453	54.9483925132105	281.006914433881	175.183140734627	124.776079377849	259.319861257729	212.992490961342	86	174.590324316392	31.3055872291904	146.516279069767	65.9440958357102	62.316715542522	16.6622316835196	71.4575989032511
OTU_9	556.016936562175	326.432801604738	222.42315501204	769.562202394711	323.536703466977	107.777325739083	326.039040083471	136.804733727811	433.854672070324	377.174137148984	549.483925132105	353.860558916739	85.7279199339662	296.052561008313	418.398431609109	411.249652359321	200	646.054884312479	163.11858608894	410.648837209302	79.4326608930146	80.5962854349951	141.628969309917	64.38258911085
OTU_19	137.394146486406	16.5631865507689	63.4520043439256	98.1993435347418	176.881657950804	156.113823343278	118.102773671855	45.4050193837992	4.12409384097266	120.3620469259	236.206726258087	49.2629405550754	33.5457078002476	62.0005363368195	165.616045845272	34.1591730787058	394	20.4984591302646	252.641581147853	271.525581395349	278.014313125551	360.606060606061	48.7049849210573	481.808166862515
OTU_45	113.063933046105	23.464514280256	49.1241323952972	16.7005686283574	77.245787332946	58.1344363077479	44.6026432484132	38.3289124668435	127.846909070152	68.5229475073193	7.13615487184552	27.059925093633	49.945831613702	24.8002145347278	90.7982707485045	50.2340780569204	31	252.343100327741	84.0307867730901	67.2093023255814	20.2328475859565	87.2434017595308	76.9026077700905	44.5725616921269
OTU_28	230.42143316991	36.5770369662814	730.721469380046	382.777032961953	189.196203757505	649.27673808878	128.782279801756	289.530708018772	115.474627547234	183.522328976125	398.19744184898	115.871986939403	100.637123400743	167.401448109413	136.560599205751	179.503105590062	643	176.710854571247	97.7613074876473	147.188372093023	57.7010838562464	451.173020527859	462.697356750044	96.2201331766549
OTU_50	173.889466646858	35.8869041933327	53.2178100949053	12.6924321575517	75.5665310865776	34.6193834192207	89.2052864968264	95.5274433789023	192.182772989326	86.3984990309678	4.28169292310731	52.0383174877557	88.7097606273215	41.8503620273532	127.117579047906	78.3651617687958	57	289.09895807856	121.377803116686	92.0767441860465	52.4555307784059	66.4711632453568	173.671722547454	53.7700744222483
OTU_6	392.861387609568	274.672843633585	1297.69583077577	402.149692570847	514.971915552973	754.441280173583	196.000347795844	310.759028769639	613.665163536732	256.812090223084	163.417946565262	138.075002400845	278.056644655386	461.128989005095	396.606846629468	267.245295262816	882	817.817834955731	277.356518434055	705.697674418605	400.160763366696	461.143695014663	820.935337945716	590.763317665492
OTU_62	70.1282622691032	3.45066386474353	8.18735539921621	0.668022745134298	2.23900832849119	7.18515504927222	55.9103556212503	3.53805345847786	2.47445630458359	392.666281802812	0	33.9983674253337	6.70914156004953	6.20005363368195	11.6221786558086	35.4987484935571	1	0	1.64766248574686	4.7046511627907	11.240470881087	0.83088954056696	0.640855064750754	2.83000391696044
OTU_25	406.457683355618	3.45066386474353	47.7595731620945	1.3360454902686	24.0693395312803	28.7406201970889	256.936353360577	38.3289124668435	36.2920258005594	411.733536761371	7.13615487184552	286.557668299241	160.27393726785	22.4751944220971	225.179711456291	350.298970983591	32	209.932495230641	28.559483086279	14.1139534883721	9.74174143027537	30.7429130009775	3.84513038850452	5.66000783392088
OTU_15	111.632744020205	236.715541121406	66.181122810331	384.113078452221	181.359674607786	214.901455564596	70.9873054516999	43.6359926545603	35.4672070323649	73.8856129644138	627.981628722406	58.2829155862864	88.7097606273215	508.40439796192	97.3357462423968	69.6579215722629	836	22.6189893851196	63.1603952869631	194.23488372093	173.852616294145	588.269794721408	52.5501153095618	210.835291813553
OTU_59	93.7428811964542	2.76053109179482	2.7291184664054	32.7331145115806	50.9374394731745	1.3063918271404	70.3590992087645	79.0165272393389	40.416119641532	70.9063543771391	19.9812336411675	52.7321617209258	117.037247214197	5.42504692947171	43.5831699592822	74.3464355242421	2	22.6189893851196	113.688711516534	42.3418604651163	38.2176009956957	2.49266862170088	11.5353911655136	111.785154719937
