	114t1	114t2	114t3	114t4	114t5	120t1	120t2	120t3	120t4	120t5	120t6	125t1	125t2	125t3	125t4	125t5	125t6	129t2	129t3	129t4	129t5	129t6	134t1	134t2	134t3	134t4	134t5	134t6	139t1	139t2	139t3	139t4	139t5	139t6	148t1	148t2	148t3	148t4	148t5	148t6	150t1	150t3	150t4	150t5	150t6	151t1	151t2	151t3	151t4	151t5	151t6	155t1	155t2	155t3	155t4	155t5	155t6	156t1	156t2	156t3	156t4	156t5	156t6	163t1	163t2	163t3	163t4	163t5	163t6	169t1	169t2	169t3	169t4	169t5	169t6	191t1	191t2	191t3	191t4	191t5	191t6
Zotu269	3	1	1	4	4	0	1	0	0	1	0	1	1	1	2	7	3	3	1	1	3	3	19	6	6	2	12	8	2	2	3	4	3	4	0	0	0	0	1	0	3	1	0	3	0	0	0	0	0	0	0	3	2	1	2	0	3	1	4	4	1	1	1	7	4	2	8	4	2	0	0	1	0	0	0	5	1	1	0	1	1
Zotu280	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	1	24	15	11	18	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	98	51	5	49	85	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	1	0
Zotu455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu250	1	2	3	1	2	1	1	6	7	2	1	3	1	2	1	3	1	7	7	2	0	2	0	2	0	1	1	2	0	0	0	0	0	0	0	1	0	3	1	3	9	7	4	6	4	2	4	2	0	2	2	0	1	0	0	1	1	1	3	4	6	6	2	4	3	5	6	2	4	2	0	6	1	4	0	5	2	9	3	4	1
Zotu552	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
Zotu466	2	3	3	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	1	0	1	7	5	2	2	1	1	1	1	10	3	3	3	5	4	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	2	2	4	0	4	5	0	0	2	1	2	2	0	1	0	0	1	0	0	0	0	1	0	0
Zotu355	2	0	1	1	0	1	4	0	1	2	6	2	0	4	0	0	5	7	7	0	10	5	0	2	0	0	0	0	0	0	0	0	0	0	19	29	15	17	20	32	4	0	2	1	1	7	2	0	14	3	3	1	0	0	0	0	1	2	1	1	0	1	1	6	4	3	2	5	11	0	3	0	0	0	0	0	0	1	0	0	0
Zotu164	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	60	34	38	26	57	36	50	32	53	75	44	51	2	2	1	2	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	2	19	32	32	19	12	14	53	27	65	39	46	37
Zotu415	4	1	0	2	2	1	0	0	0	0	0	0	6	1	1	3	0	1	0	2	4	1	1	1	1	2	2	2	4	3	2	1	1	1	1	2	3	5	0	0	0	0	3	0	1	4	0	6	2	0	2	1	0	0	1	0	0	1	4	1	2	2	1	2	0	2	8	2	3	0	2	0	0	0	0	2	0	0	1	0	0
Zotu215	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	80	77	9	122	18	27	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0
