#OTU ID	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
Zotu3685	3	7	3	0	3	0	0	0	7	0	0	0	0	0	0	3	0	0	0	9	0	2	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0
Zotu3048	1	0	0	0	9	0	0	2	6	3	4	1	4	3	2	2	1	5	3	2	2	0	0	0	0	0	0	0	0	2	0	5	0	2	1	0	12	5	7	3	3	2	8	2	6	0	2	1	0	19	0	6	1	1	0	4	2	0	0	0	0	1	0	0
Zotu98	100	235	128	6	94	34	7	844	73	43	16	0	0	0	0	14	33	257	49	160	28	5	0	33	52	41	14	33	6	0	0	0	0	167	143	46	204	838	65	9	80	208	81	15	0	0	0	0	153	918	45	792	805	243	3	32	108	92	4	12	0	1	0	0
Zotu3694	6	13	8	0	1	0	0	0	6	1	0	0	0	0	0	0	0	0	2	11	0	0	4	0	0	8	3	2	0	1	0	0	2	0	0	0	4	0	0	2	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0
Zotu89	79	270	143	7	105	59	9	941	84	64	31	0	0	0	0	15	47	322	53	184	35	10	2	48	51	36	23	36	8	0	0	0	0	156	163	72	284	899	108	11	62	256	81	21	0	2	0	0	159	1089	47	849	1101	229	8	63	147	157	5	18	0	0	0	0
Zotu287	2	0	0	0	14	0	0	7	15	1	0	393	292	30	6	2	3	9	5	1	4	0	3	4	2	0	0	4	0	35	24	64	19	6	1	0	2	2	3	2	3	3	13	1	38	26	12	14	0	0	0	0	0	3	0	3	0	0	2	3	104	234	26	15
Zotu3950	3	18	1	0	4	4	0	0	2	5	2	2	0	0	2	1	11	0	1	3	1	0	0	0	0	7	0	0	3	0	1	0	1	3	0	0	1	4	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0
Zotu131	49	146	67	8	53	48	5	526	44	30	16	0	0	0	0	5	31	150	31	105	36	5	0	29	30	8	15	14	0	0	0	0	0	94	71	36	128	445	60	9	59	111	42	9	0	0	0	0	89	629	22	464	600	102	8	31	99	57	5	7	0	0	0	0
Zotu34	71	1360	1849	0	1441	1240	0	0	1	0	0	0	0	0	0	1112	4052	7	0	0	0	26	5397	0	214	1878	337	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	58	0	0	0	7103	1	0	0	2	0	0	0	0	0	0
Zotu11984	1	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	7	0	0	0	0	0	0	0	0	0	0
Zotu4203	1	12	1	1	4	0	1	0	17	2	0	0	0	0	0	2	3	1	1	2	0	0	0	0	0	22	1	0	0	0	0	0	0	0	0	0	2	1	0	4	0	1	0	1	0	0	0	0	0	1	0	5	2	0	0	1	0	0	0	0	0	0	0	0
Zotu7653	6	25	0	0	4	0	0	0	1	1	1	0	0	0	0	2	0	0	3	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu1096	26	81	7	0	18	0	0	1	17	12	4	0	0	0	0	40	1	0	2	45	0	5	2	12	0	40	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	12	0	3	0	0	0	0	0	10	0	5	0	0	0	22	2	2	12	0	0	0	0	0
Zotu9412	4	1	3	0	1	2	0	3	0	0	0	0	0	2	0	1	1	1	0	4	0	0	0	0	1	1	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11566	4	14	1	0	2	0	0	2	2	2	0	0	0	17	2	7	0	1	2	4	0	1	0	0	0	0	0	0	0	3	1	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu211	4	9	3	3	54	0	3	33	61	16	16	0	0	3	2	17	2	12	31	107	20	0	4	19	1	4	9	0	5	4	3	12	75	75	31	24	211	144	124	60	96	36	151	17	23	20	26	24	10	363	12	61	22	63	5	59	19	17	2	16	7	8	9	11
Zotu43	39	843	1220	0	982	1020	0	0	2	0	0	0	0	0	0	779	2700	2	0	0	0	19	3665	1	132	1250	192	94	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	1	0	0	4697	0	0	0	7	0	0	0	0	0	0
Zotu1720	2	2	0	0	12	0	0	7	7	0	1	10	0	2	0	2	0	5	3	2	7	0	6	3	2	0	0	0	0	1	0	3	0	3	3	1	7	4	0	1	6	5	1	0	1	4	1	0	0	1	1	7	0	5	0	16	1	0	0	0	34	1	0	2
Zotu803	19	84	4	2	14	2	0	19	51	13	6	0	0	0	0	16	1	10	1	49	2	9	4	4	1	29	18	0	5	0	0	0	1	3	12	5	12	8	0	8	4	3	0	1	0	0	0	0	17	1	7	11	0	3	2	15	1	3	0	0	0	0	0	0
Zotu6453	1	1	0	0	1	0	1	0	2	0	0	0	0	0	0	4	0	2	0	3	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8763	2	7	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu1870	5	25	3	0	3	2	4	5	20	0	2	0	0	0	0	0	0	0	0	9	0	2	1	0	0	8	2	0	1	0	0	0	14	2	2	0	1	35	2	0	1	3	1	4	0	1	1	0	2	12	1	4	2	5	0	3	2	0	1	0	0	0	0	0
Zotu38	41	1150	1607	0	1280	1241	0	0	0	0	0	0	0	0	0	918	3358	2	0	0	0	20	4520	0	205	1426	280	152	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	51	1	0	0	5906	0	0	0	13	0	0	0	0	0	0
Zotu8345	5	11	1	0	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Zotu3609	3	0	0	0	4	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	5	0	0	0	0	9	3	0	0	30	7	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0
