	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD	taxonomy
OTU_18	1.55994651611945	0.711624797019773	0.174701355115917	0.277379686560954	0.457098586093357	0.207937799475635	1.44335275193461	2.18730871250765	0.593641189565615	0.973155746154798	1.03708825127167	2.04071833285316	1.55282707387536	0.348618932689729	1.44271854421153	2.86455919161954	0.740484429065744	0.430465195910581	1.96883314329152	0.511627906976744	0.435616864595758	0.431257547007073	1.56111406776654	0.905797101449275	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium IV;
OTU_29	0.594265339474075	2.96589932180724	0.594928939043392	0.758171143266608	1.29382142165408	0.262182442817105	0.339100947743674	0.24484799020608	0.114161767224157	0.202053523566039	1.66921823299916	0.13924901565351	0.763516302104829	2.10244033252883	0.276479163524858	0.245666079540187	0.844290657439446	0.132074548745292	0.197643481565944	2.12558139534884	3.72348700928279	1.96653441435225	0.274968955117971	3.67215041128085	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_20	2.33249145743574	1.75756996847836	2.68190188394164	0.536267394017845	3.45535541351927	2.41388662869542	0.830362577167203	0.150989593960416	0.810548547291512	1.31540967382788	0.143216948985135	0.792278882166523	0.928600907965332	2.78895146151783	1.50304127079877	0.894595346250116	1.67474048442907	2.19145917918114	0.247054351957431	5.26976744186047	2.7277913187782	1.31677304352826	0.69185737094199	3.65256560908735	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_38	0.391224681820433	0.434616486770465	0.391897634449219	0.346724608201193	1.40615920976177	0.280263990597595	0.126075993391879	1.68537033258519	0.308236771505223	0.391736423240279	0.0839547631981826	0.446557188130222	0.825423029302518	0.0321802091713596	0.34685567787664	0.393992769073885	0.0207612456747405	0.132074548745292	0.608133789433675	1.44651162790698	2.76927863921589	0.575010062676097	1.10431080361895	2.34528006267137	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_423	1.04491655524192	0.00477600534912599	0.722413711695547	1.65040913503768	0	0.700659976493988	1.19989566124685	0	0	0.964908663560266	2.31122524569115	0.00480169019494862	1.72307057366901	0	0	1.29322332437193	1.20415224913495	0	0	0	0.0051859150547114	4.39307687884538	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_17	2.6543851829842	3.81602827395167	0	0	2.25450319581639	0.0045203869451225	1.71724197895835	0.114262395429504	0.884753695987214	1.80198754690528	0	0	0	3.53445964065433	0.829437490574574	0	0	1.32074548745292	0.992018244013683	2.16744186046512	1.81507026914899	0	0.0532197977647685	1.72346259302781	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_26	1.63918189471599	0.477600534912599	0.245526228811559	0.369839582081272	0.302149912841371	0.302865925323208	0.891226849839144	1.01203835951847	0.793424282207889	1.20819760009896	0.0839547631981826	0.787477191971574	0.28373916632274	0.423706087422902	1.31201930327251	0.825067210531195	0.207612456747405	2.34310032774055	1.30368681109844	0.841860465116279	0.601566146346523	0.126502213788741	1.83164803973745	0.283979631805719	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_65	0.21294507997821	0	0.00944331649275225	0	0	0.0045203869451225	0.595600382575428	0.26525198938992	0.148410297391404	0.164941651890644	0.0839547631981826	0.216076058772688	0.190879075526207	0	0	0.482061740984518	0.463667820069204	0	0.56632459141011	0	0	0.12075211316198	0.133049494411921	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_47	1.0201554994305	1.88174610755564	0.760186977666557	1.45162035966899	1.16211504938989	1.40131995298798	0.76080340839927	0.408079983676801	0.251155887893145	0.523689744752794	1.58032495431873	0.45135887832517	1.36710689228229	1.40520246714937	0.281506057407128	0.491332159080375	1.57785467128028	0.166316098419997	0.40288863549981	0.911627906976744	1.87211533475082	1.51227646483813	0.549937910235941	1.35624755189973	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_85	0.311989303223889	0.310440347693189	0.221917937579678	0.379085571633304	0.275033895022274	0.262182442817105	0.23910964263977	0.277494388900224	0.154118385752611	0.107212073728918	0.291372413452516	0.153654086238356	0.314692529921585	0.203807991418611	0.115618559292213	0.101974599054417	0.27681660899654	0.00978329990705865	0.266058532877233	0.213953488372093	0.342270393610953	0.12075211316198	0.261664005676778	0.264394829612221	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_53	0.257514980438766	0.205368230012418	0.217196279333302	0.448430493273543	0.220801859384079	0.28930476448784	0.326058603599687	0.440726382370945	0.068497060334494	0.173188734485176	0.365450145686207	0.336118313646404	0.510730499380933	0.28425851434701	0.196048861408536	0.407898396217669	0.332179930795848	0.102724649024116	0.32307107563664	0.144186046511628	0.280039412954416	0.281754930711287	0.23061912364733	0.18605562083823	Bacteria;Firmicutes;Clostridia;;;;
OTU_7	5.29886594364384	4.54675709236794	2.97936635346334	1.25745457907633	5.53554135192717	2.9337311273845	1.96939396574211	1.86492552540298	5.60534277070609	2.77101975176281	1.01733418934268	2.34322481513493	1.89847296739579	3.99570930544382	5.21791584979641	3.18438861592658	2.98961937716263	8.97617766472631	3.92246294184721	7.76744186046512	3.44344759632837	2.53579437640159	4.81639169771155	4.2939678809244	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_41	0.311989303223889	0.377304422580953	0.160536380376788	1.28981554250844	0.329265930660469	0.352590181719555	0.621685070863403	0.0571311977147521	0.0228323534448313	0.243288936538699	1.97046767741617	0.605012964563526	1.14527445315724	0.466613032984714	0.0653496204695119	0.658199684805785	1.25259515570934	0.0342415496747053	0.0684150513112885	0.116279069767442	0.197064772079033	0.523259157035248	0.0975696292354089	0.607128867998433	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
